Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
2820000	-2200.791101	35	0.173849	0.130800	0.315404	0.340188	0.102849	0.157325	0.159973	0.066581	0.250000	0.250000	0.250000	0.250000	4.134206	0.064618	1.761823	0.080278	3.058841	0.314541	3.127271	1.022760	1.409600	0.107622	0.583568	5.530573	2.858574	0.114612	0.042228	0.466009	
2850000	-2202.530771	35	0.216362	0.117174	0.339491	0.382240	0.079375	0.126928	0.147141	0.054803	0.250000	0.250000	0.250000	0.250000	0.288662	9.559466	0.293239	0.583416	1.167235	1.089484	0.279078	6.521624	0.693792	6.513862	2.025196	6.489633	0.410966	1.965255	3.516986	0.047380	
2880000	-2202.590280	35	0.232558	0.120187	0.407322	0.261742	0.085091	0.122075	0.105848	0.057865	0.250000	0.250000	0.250000	0.250000	0.755011	2.226932	0.234810	5.501803	3.374584	0.942614	0.227730	6.559911	0.652936	5.611523	0.124754	3.956700	0.484129	9.950617	0.311681	5.675467	
2910000	-2202.152518	35	0.178126	0.155393	0.317705	0.257090	0.119293	0.170575	0.124935	0.060763	0.250000	0.250000	0.250000	0.250000	0.278760	2.044001	0.663386	3.391658	0.054439	6.033992	4.167861	0.165732	0.574045	1.601180	0.679961	0.741310	1.210653	1.912854	2.079272	0.627830	
2940000	-2200.527983	35	0.164563	0.121302	0.314528	0.358223	0.093688	0.158992	0.140908	0.062136	0.250000	0.250000	0.250000	0.250000	0.287782	3.861638	0.686342	1.359812	0.848006	0.780526	2.822711	0.266108	1.728005	4.133425	0.412803	3.149449	2.354735	0.158670	0.492936	3.729443	
2970000	-2203.239634	35	0.186177	0.108406	0.354028	0.212330	0.093853	0.151313	0.118032	0.065398	0.250000	0.250000	0.250000	0.250000	3.175372	0.040822	1.508706	3.333434	0.133627	4.203025	0.648623	3.697602	0.818481	5.179654	1.703433	0.324191	3.214847	0.173411	0.419435	2.673151	
3000000	-2206.145441	35	0.175052	0.129872	0.326866	0.406879	0.138128	0.123080	0.124906	0.057646	0.250000	0.250000	0.250000	0.250000	0.475584	4.215194	2.856029	0.194632	1.779123	0.383234	1.566393	1.451743	0.815990	1.393418	1.900735	0.124979	1.304108	0.507230	0.518010	0.425093	
3030000	-2202.609569	35	0.177029	0.131875	0.321203	0.281944	0.133483	0.150598	0.111939	0.070173	0.250000	0.250000	0.250000	0.250000	1.516340	0.551880	0.359092	5.035448	1.675554	1.171282	0.240353	2.044169	2.416638	0.083274	0.248826	2.491498	0.513852	1.195360	2.567788	0.075898	
3060000	-2204.384734	35	0.142949	0.140870	0.246613	0.241892	0.094486	0.181031	0.108628	0.074597	0.250000	0.250000	0.250000	0.250000	0.195956	3.781244	1.034644	2.159178	1.115832	4.593737	7.495210	0.031045	0.572594	5.463895	0.124382	8.967146	0.192279	3.330934	1.509647	1.554649	
3090000	-2200.336710	35	0.189569	0.131344	0.348545	0.307805	0.094769	0.126535	0.124764	0.066431	0.250000	0.250000	0.250000	0.250000	0.530562	7.736256	0.250586	4.823836	1.125439	2.565933	1.476679	0.981353	0.971811	5.315031	0.701427	3.955760	0.765117	0.655311	1.257237	1.682457	
3120000	-2202.213684	35	0.171068	0.119369	0.334624	0.228098	0.078564	0.180687	0.114660	0.064901	0.250000	0.250000	0.250000	0.250000	1.426359	4.043670	1.504003	0.900482	4.468640	0.074148	0.870584	2.854266	0.272788	9.291271	1.829791	0.138974	0.233955	4.875409	0.729349	1.938485	
3150000	-2200.197486	35	0.203217	0.128129	0.388598	0.282641	0.100406	0.141528	0.113780	0.058136	0.250000	0.250000	0.250000	0.250000	0.721913	8.449803	0.068173	1.775708	2.468481	0.328692	0.060383	3.789584	0.740672	4.555754	0.553620	2.965375	3.166217	0.111160	0.184640	1.852104	
3180000	-2203.980252	35	0.182155	0.116550	0.224767	0.269468	0.087965	0.127832	0.131042	0.065454	0.250000	0.250000	0.250000	0.250000	0.511351	5.556138	0.570374	5.315759	0.712973	3.454677	0.211390	5.873477	0.567015	4.550423	5.450927	0.021866	0.311678	3.153221	0.209152	2.463064	
3210000	-2207.333061	35	0.224531	0.100336	0.346941	0.369521	0.103303	0.171360	0.118162	0.086435	0.250000	0.250000	0.250000	0.250000	7.592966	0.018094	1.029441	8.258895	1.776898	0.910672	1.473915	2.561085	0.847433	1.011899	1.790550	1.533683	5.219491	0.094202	1.385153	0.411469	
3240000	-2204.848803	35	0.229962	0.098562	0.409385	0.344243	0.107458	0.142057	0.135934	0.073737	0.250000	0.250000	0.250000	0.250000	8.585557	0.037309	0.601283	8.002171	0.518472	2.189047	0.457265	3.580753	0.628754	1.498591	1.136633	0.300128	6.090237	0.066513	0.136618	0.752513	
3270000	-2202.539777	35	0.169830	0.112092	0.275118	0.277160	0.074263	0.148426	0.105653	0.067097	0.250000	0.250000	0.250000	0.250000	9.694229	0.012561	0.487441	6.916781	2.170476	1.459620	0.991875	1.671776	0.555598	1.361438	0.120088	1.248205	6.260674	0.024075	0.665866	1.241923	
3300000	-2202.174551	35	0.212247	0.145742	0.343366	0.336663	0.111172	0.150007	0.143964	0.068204	0.250000	0.250000	0.250000	0.250000	8.647207	0.019547	0.708982	6.990188	2.487164	0.810917	1.204187	2.207232	0.810080	2.832462	0.357070	1.206238	4.494470	0.046051	0.343072	0.803858	
3330000	-2208.413799	35	0.189464	0.097385	0.284782	0.574728	0.087825	0.159408	0.212132	0.077125	0.250000	0.250000	0.250000	0.250000	8.027016	0.040527	0.293410	6.806598	3.035458	0.235792	0.687060	1.630378	1.225921	4.351013	0.499274	1.280967	4.747276	0.116047	0.211595	1.995603	
3360000	-2206.784986	35	0.215395	0.168511	0.454135	0.331316	0.095784	0.148296	0.124401	0.040545	0.250000	0.250000	0.250000	0.250000	0.742913	1.062018	0.674786	1.521884	0.397414	4.680637	0.808031	0.550018	1.550406	0.159757	0.850009	1.616706	2.030626	0.114974	0.451356	9.898504	
3390000	-2207.357817	35	0.183377	0.095439	0.364293	0.357467	0.085246	0.143213	0.142611	0.096720	0.250000	0.250000	0.250000	0.250000	0.053160	6.321661	0.498552	1.350547	0.330100	3.133664	1.014434	0.874168	0.668578	1.245127	1.096326	0.121970	0.278941	5.690159	0.957030	0.565224	
3420000	-2206.170296	35	0.151666	0.166099	0.268613	0.388693	0.131421	0.146788	0.162150	0.061621	0.250000	0.250000	0.250000	0.250000	3.792484	0.045411	0.659010	5.747008	1.016920	4.373746	0.421400	8.369018	1.126390	3.929727	0.168121	3.710315	1.074073	7.572450	0.558542	0.081165	
3450000	-2203.555977	35	0.156042	0.131721	0.286845	0.319881	0.134057	0.153802	0.131567	0.076591	0.250000	0.250000	0.250000	0.250000	0.483091	2.444479	0.763444	4.700787	1.215292	0.121301	0.488633	5.136821	0.479367	9.463547	6.000787	0.024203	0.603999	4.016127	0.882768	2.739583	
3480000	-2208.105828	35	0.182439	0.131262	0.237317	0.339633	0.129598	0.110008	0.095486	0.055973	0.250000	0.250000	0.250000	0.250000	1.084979	0.099463	0.629375	5.795342	1.535836	0.335120	1.837570	0.960184	0.583458	1.768020	4.252277	0.031587	1.511814	0.089687	0.491081	6.683848	
3510000	-2201.666950	35	0.181635	0.117323	0.373285	0.344412	0.104502	0.129364	0.151445	0.056284	0.250000	0.250000	0.250000	0.250000	0.244996	2.201049	1.433368	5.243166	2.301795	0.239932	0.711126	0.911190	0.146625	8.787757	1.107891	0.434679	0.667840	1.397103	0.461295	2.530102	
3540000	-2201.710841	35	0.192135	0.122542	0.362448	0.263164	0.106148	0.154270	0.118118	0.078947	0.250000	0.250000	0.250000	0.250000	1.589608	0.176515	0.937137	1.320097	0.676209	8.049349	3.860881	0.117372	1.313038	7.443710	1.439980	0.070504	1.900741	0.021961	0.336852	1.346656	
3570000	-2202.532825	35	0.184161	0.133889	0.303301	0.281391	0.129987	0.122588	0.131301	0.053579	0.250000	0.250000	0.250000	0.250000	0.743407	2.682723	0.179098	2.458472	3.759013	0.082588	0.658625	3.508725	5.383389	0.055711	0.647506	4.383638	0.142786	8.657976	1.167225	0.663598	
3600000	-2203.430611	35	0.224898	0.131831	0.304325	0.296612	0.102157	0.137726	0.126932	0.052217	0.250000	0.250000	0.250000	0.250000	1.257603	2.556132	3.164057	0.254245	3.499664	0.068166	0.353744	6.207791	7.473478	0.013174	1.633691	2.208026	0.893841	5.414527	2.220741	0.452923	
3630000	-2201.426007	35	0.171282	0.129871	0.340981	0.367165	0.087601	0.129124	0.133731	0.060257	0.250000	0.250000	0.250000	0.250000	0.670933	3.008217	0.818502	1.966383	0.539368	4.464777	0.767015	7.651890	9.535892	0.009457	1.271085	2.763845	0.206678	6.846081	1.009865	1.469515	
3660000	-2200.963251	35	0.193805	0.136276	0.334422	0.346294	0.102310	0.144006	0.134562	0.072795	0.250000	0.250000	0.250000	0.250000	1.124120	2.770049	0.243527	9.501482	1.594151	6.861865	0.626792	9.373765	1.383130	0.266770	0.475326	7.768485	0.615213	4.931566	0.577537	7.957257	
3690000	-2202.109310	35	0.184885	0.133435	0.303955	0.397174	0.114986	0.134080	0.146108	0.073606	0.250000	0.250000	0.250000	0.250000	0.620466	4.326305	0.401365	2.804565	5.061669	0.193168	1.840180	0.490990	0.839888	0.585592	0.196734	6.432048	0.661675	2.923609	0.245348	4.726330	
3720000	-2205.571583	35	0.145761	0.107626	0.259729	0.383674	0.074065	0.137233	0.131338	0.083293	0.250000	0.250000	0.250000	0.250000	2.036306	0.262405	0.495757	1.531823	1.956948	0.168540	0.249628	1.331222	1.008433	0.352258	0.887994	1.431557	0.608088	0.697879	0.336772	3.316256	
3750000	-2201.926421	35	0.195642	0.142451	0.385583	0.358674	0.107351	0.141102	0.131680	0.053925	0.250000	0.250000	0.250000	0.250000	0.867807	1.650018	0.606788	0.688154	0.445852	4.771672	0.639929	7.816181	0.862834	0.869362	0.162327	9.876186	2.686368	0.044869	4.740152	0.077740	
3780000	-2200.736969	35	0.185242	0.137418	0.317253	0.274136	0.103278	0.169685	0.136982	0.064836	0.250000	0.250000	0.250000	0.250000	1.344715	0.281322	0.741993	1.550141	1.864724	4.583292	0.273606	8.238507	2.061331	0.172107	1.000385	7.749070	3.959979	0.031888	6.177072	0.025375	
3810000	-2203.026807	35	0.176360	0.137608	0.386451	0.271014	0.098297	0.166412	0.102721	0.060488	0.250000	0.250000	0.250000	0.250000	1.344715	0.281322	0.741993	1.550141	1.864724	4.583292	0.273606	8.238507	2.061331	0.172107	1.000385	7.749070	3.959979	0.031888	6.177072	0.025375	
3840000	-2205.612652	35	0.195032	0.153283	0.470046	0.204495	0.097583	0.170165	0.098308	0.065248	0.250000	0.250000	0.250000	0.250000	1.344715	0.281322	0.741993	1.550141	1.864724	4.583292	0.273606	8.238507	2.061331	0.172107	1.000385	7.749070	3.959979	0.031888	6.177072	0.025375	
3870000	-2203.175198	35	0.151028	0.139464	0.321690	0.334944	0.120412	0.152521	0.153724	0.067002	0.250000	0.250000	0.250000	0.250000	1.344715	0.281322	0.741993	1.550141	1.864724	4.583292	0.273606	8.238507	2.061331	0.172107	1.000385	7.749070	3.959979	0.031888	6.177072	0.025375	
3900000	-2204.836297	35	0.176071	0.144795	0.244920	0.349860	0.098308	0.182141	0.152423	0.071238	0.250000	0.250000	0.250000	0.250000	2.126725	0.742278	1.113020	1.826253	2.871150	0.039527	0.372155	7.510102	0.545443	2.011311	0.366679	5.111026	1.470516	1.315465	4.856894	0.093975	
3930000	-2204.352723	35	0.238786	0.132998	0.384980	0.290121	0.081884	0.137881	0.110739	0.047078	0.250000	0.250000	0.250000	0.250000	1.395403	3.968890	1.250545	0.243259	0.936043	0.188089	0.825370	0.690846	0.550210	7.134208	0.718329	6.055420	0.544429	7.337023	0.566374	4.135704	
3960000	-2203.218799	35	0.146769	0.120691	0.244436	0.282841	0.081485	0.120142	0.115628	0.063298	0.250000	0.250000	0.250000	0.250000	3.817562	0.096266	0.490576	8.931215	0.631315	4.156714	2.126834	0.349842	0.122833	6.048478	0.329910	4.384361	0.739718	1.527298	0.503028	5.838528	
3990000	-2202.710611	35	0.154958	0.123716	0.253961	0.267351	0.084882	0.138273	0.109420	0.049194	0.250000	0.250000	0.250000	0.250000	0.720352	5.929793	0.300213	7.124504	2.176507	0.434131	2.346122	0.557827	2.028117	0.049800	0.652377	6.735127	0.796157	1.641210	3.078409	0.035052	
4020000	-2201.328502	35	0.223694	0.118827	0.346098	0.332970	0.090491	0.134795	0.140919	0.063943	0.250000	0.250000	0.250000	0.250000	0.417291	3.985413	0.214676	1.549455	2.645154	0.752045	0.813475	1.683230	0.913439	6.018764	0.829352	5.313092	4.370894	0.093265	0.416435	5.078619	
4050000	-2202.712827	35	0.210049	0.136867	0.404864	0.261855	0.108530	0.172613	0.134021	0.047994	0.250000	0.250000	0.250000	0.250000	0.985021	0.207847	0.717106	0.582715	0.255704	3.172285	5.288348	0.062652	1.109697	0.141056	4.195193	0.047320	1.805879	1.034857	0.536288	1.245556	
4080000	-2204.200260	35	0.155967	0.158315	0.352775	0.342304	0.123285	0.154900	0.152860	0.060630	0.250000	0.250000	0.250000	0.250000	0.985021	0.207847	0.717106	0.582715	0.255704	3.172285	5.288348	0.062652	1.109697	0.141056	4.195193	0.047320	1.805879	1.034857	0.536288	1.245556	
4110000	-2201.763551	35	0.192960	0.123328	0.365947	0.292279	0.089798	0.128214	0.110634	0.044641	0.250000	0.250000	0.250000	0.250000	0.173269	0.521897	0.127219	4.220958	2.842884	0.354147	0.536330	4.909141	0.839451	6.367691	1.395987	2.894623	2.759100	0.098672	1.586506	0.013964	
4140000	-2201.706586	35	0.218132	0.141146	0.415088	0.276743	0.120812	0.144424	0.125190	0.054330	0.250000	0.250000	0.250000	0.250000	2.029932	0.595420	1.041575	1.333630	0.576893	8.223336	0.539235	6.773297	1.028396	2.278983	7.179832	0.029284	0.214899	8.418134	0.794954	4.951674	
4170000	-2205.251587	35	0.138714	0.117414	0.209786	0.349502	0.098425	0.136267	0.152148	0.087495	0.250000	0.250000	0.250000	0.250000	6.876019	0.020289	2.744410	0.105746	0.397306	8.899534	0.265571	4.835430	1.222418	0.676411	7.145973	0.048983	1.027709	8.511397	0.982920	4.980370	
4200000	-2206.101734	35	0.177204	0.162020	0.276796	0.224264	0.102566	0.190929	0.115985	0.056920	0.250000	0.250000	0.250000	0.250000	6.876019	0.020289	2.744410	0.105746	0.397306	8.899534	0.265571	4.835430	1.222418	0.676411	7.145973	0.048983	1.027709	8.511397	0.982920	4.980370	
4230000	-2203.771455	35	0.191400	0.133322	0.263930	0.304761	0.089893	0.147167	0.131428	0.044865	0.250000	0.250000	0.250000	0.250000	6.876019	0.020289	2.744410	0.105746	0.397306	8.899534	0.265571	4.835430	1.222418	0.676411	7.145973	0.048983	1.027709	8.511397	0.982920	4.980370	
4260000	-2204.323194	35	0.157229	0.148214	0.402512	0.269854	0.106862	0.182302	0.123566	0.065158	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4290000	-2202.664328	35	0.168449	0.129513	0.332153	0.411963	0.095494	0.127458	0.142925	0.063369	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4320000	-2203.617062	35	0.198140	0.126071	0.260585	0.321727	0.094835	0.117294	0.111897	0.065494	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4350000	-2201.317479	35	0.203823	0.118496	0.304976	0.270410	0.098970	0.119711	0.116732	0.057867	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4380000	-2202.261608	35	0.230733	0.120692	0.419025	0.241737	0.096644	0.149159	0.123874	0.067632	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4410000	-2201.667224	35	0.199235	0.125419	0.416075	0.258881	0.109908	0.134255	0.109312	0.060880	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4440000	-2203.154531	35	0.160396	0.118155	0.224040	0.376698	0.095958	0.123015	0.129014	0.075210	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4470000	-2201.171114	35	0.181788	0.156691	0.320309	0.244829	0.101597	0.140485	0.115578	0.052793	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4500000	-2200.551007	35	0.156421	0.135844	0.303047	0.272952	0.092097	0.126114	0.126472	0.054300	0.250000	0.250000	0.250000	0.250000	6.072146	0.049371	3.447979	0.266029	0.518234	9.437490	0.967289	5.464658	0.737993	1.136352	7.924252	0.020703	0.094041	8.483055	0.392126	4.242407	
4530000	-2202.208213	35	0.158722	0.142856	0.370206	0.354829	0.100552	0.143826	0.155683	0.051841	0.250000	0.250000	0.250000	0.250000	3.679457	0.129275	0.842066	0.148543	0.859506	9.894986	0.901762	7.899022	0.198715	0.622248	7.180219	0.040719	0.540992	7.704704	0.452152	3.125613	
4560000	-2204.391436	35	0.140835	0.135690	0.291894	0.291691	0.112624	0.128425	0.139395	0.041060	0.250000	0.250000	0.250000	0.250000	5.292409	0.036664	0.782094	6.005110	0.709401	7.092139	0.130992	4.154046	1.247288	2.572571	3.159448	0.072326	0.635298	4.944741	0.347055	1.995908	
4590000	-2203.447254	35	0.203062	0.124607	0.262513	0.303116	0.088927	0.117632	0.118226	0.062385	0.250000	0.250000	0.250000	0.250000	1.523202	0.227955	0.377789	2.634017	1.162363	1.754733	0.442892	5.387932	1.184413	0.179628	0.987719	0.755207	0.246252	2.206369	4.614463	0.029056	
4620000	-2202.722400	35	0.185680	0.166811	0.322899	0.283586	0.122988	0.144010	0.134249	0.061453	0.250000	0.250000	0.250000	0.250000	2.352631	0.652780	1.319336	0.346338	0.917801	0.191608	0.341137	6.064570	0.148909	1.780741	0.189440	2.961561	2.246774	0.428960	9.493118	0.008409	
4650000	-2201.843167	35	0.150053	0.115762	0.236618	0.284215	0.092421	0.149625	0.128691	0.075847	0.250000	0.250000	0.250000	0.250000	1.085317	0.323771	0.906840	0.847105	1.626554	0.279177	1.892604	7.641931	0.657694	2.213216	1.007843	0.257062	0.569438	0.881998	8.947423	0.006890	
4680000	-2207.363588	35	0.177627	0.105728	0.234185	0.340455	0.102660	0.191069	0.113840	0.084257	0.250000	0.250000	0.250000	0.250000	0.606916	0.674967	0.481148	3.561461	0.777959	0.734786	0.319754	6.821283	1.677411	1.280228	1.501808	0.692574	1.132880	0.416732	4.908538	0.012720	
4710000	-2201.051157	35	0.189069	0.109396	0.338291	0.285083	0.086654	0.147928	0.109210	0.061254	0.250000	0.250000	0.250000	0.250000	2.070498	1.956076	0.355503	0.508254	0.405074	6.563489	0.218490	4.393068	0.436753	3.383821	2.756576	0.024659	0.239743	2.004857	0.829978	4.286390	
4740000	-2202.341852	35	0.209465	0.111871	0.311843	0.348158	0.098374	0.144367	0.128109	0.082039	0.250000	0.250000	0.250000	0.250000	0.393977	0.783616	0.816900	1.523027	0.706832	8.245619	1.289625	0.729517	0.237397	7.851772	1.447890	6.478683	0.582878	0.864689	1.025553	1.360863	
4770000	-2205.398800	35	0.186576	0.136207	0.299640	0.266532	0.115567	0.133157	0.155591	0.040713	0.250000	0.250000	0.250000	0.250000	0.566700	4.641335	0.198480	3.837729	0.728352	3.253709	0.404764	1.880866	0.390905	1.046331	0.947131	0.144971	0.814610	3.774197	0.087413	3.561580	
4800000	-2205.334878	35	0.143931	0.108945	0.322863	0.362185	0.111595	0.131844	0.136767	0.068717	0.250000	0.250000	0.250000	0.250000	1.321948	2.163519	0.816038	8.479808	1.366862	0.326824	0.456075	0.595413	0.681786	4.718869	1.881655	0.117794	0.205386	1.766624	0.890894	3.267148	
4830000	-2201.635901	35	0.163969	0.104360	0.276773	0.294871	0.083684	0.124160	0.135446	0.057639	0.250000	0.250000	0.250000	0.250000	0.935090	4.890168	0.336055	3.083302	0.591848	5.749132	0.754016	2.744747	0.225042	9.785064	5.618826	0.148641	0.614356	8.635472	0.339939	7.462678	
4860000	-2203.577668	35	0.156062	0.123463	0.275732	0.418168	0.115847	0.129483	0.172397	0.068081	0.250000	0.250000	0.250000	0.250000	2.045589	0.499922	0.584902	1.110612	0.393768	7.748479	0.183888	7.309766	1.260767	8.677587	0.357406	2.434461	0.549352	9.169584	2.380800	0.083476	
4890000	-2201.177445	35	0.191093	0.117855	0.309005	0.257218	0.108348	0.139227	0.126841	0.057931	0.250000	0.250000	0.250000	0.250000	1.067137	4.880007	0.441900	5.381625	4.427216	0.169965	0.767410	0.140550	1.477879	0.456995	0.262967	4.705776	2.515803	0.091383	0.670106	3.209845	
4920000	-2203.200197	35	0.175122	0.153013	0.393978	0.226709	0.114007	0.139000	0.131277	0.038644	0.250000	0.250000	0.250000	0.250000	1.142534	4.770998	0.378525	8.317832	2.347002	0.167009	2.160603	0.499078	0.287665	8.278201	1.688312	0.202213	0.468447	7.564148	0.117010	7.552930	
4950000	-2201.632865	35	0.177116	0.151805	0.370423	0.229878	0.115008	0.161484	0.114883	0.054986	0.250000	0.250000	0.250000	0.250000	0.219224	8.873270	0.422354	2.183925	1.217646	1.473267	0.152466	8.738480	0.493999	6.290601	0.302807	2.804843	1.265060	3.466070	0.347569	5.385980	
4980000	-2202.163866	35	0.204036	0.130973	0.292336	0.273270	0.121841	0.136571	0.124624	0.061219	0.250000	0.250000	0.250000	0.250000	0.788114	3.239553	1.013565	1.361238	0.142182	7.773439	2.490053	0.252546	1.807647	2.339975	2.420668	0.265986	2.686128	0.184491	0.470769	1.473789	
5010000	-2205.944556	35	0.265771	0.115807	0.496903	0.333773	0.102959	0.115042	0.126097	0.068800	0.250000	0.250000	0.250000	0.250000	1.442967	0.403369	0.542032	5.753982	0.328103	7.572664	3.853388	0.140664	0.314681	0.867623	0.776889	1.296168	2.232081	0.122272	0.773110	0.144030	
5040000	-2203.905957	35	0.193978	0.105698	0.266457	0.296565	0.101224	0.136051	0.096052	0.072321	0.250000	0.250000	0.250000	0.250000	0.628733	3.491199	0.330353	5.423099	0.457443	3.019841	4.356535	0.183241	0.550652	5.264543	0.911103	3.888309	0.425772	6.800906	0.972960	1.274270	
5070000	-2204.400454	35	0.137183	0.134465	0.286165	0.287918	0.090879	0.113965	0.120329	0.048653	0.250000	0.250000	0.250000	0.250000	1.598752	0.389366	0.257588	4.484210	0.196461	2.892141	0.328432	7.978142	0.301374	4.865526	1.872213	0.222263	0.125894	0.500171	0.405111	1.117748	
5100000	-2202.502737	35	0.156298	0.160596	0.290246	0.293724	0.102002	0.168978	0.147884	0.051432	0.250000	0.250000	0.250000	0.250000	0.622660	1.135001	1.728515	0.626054	1.708802	5.605086	0.389786	2.143445	0.608451	1.544119	1.263367	2.964879	0.411806	3.333003	0.335544	3.686317	
5130000	-2200.576289	35	0.204792	0.131757	0.323061	0.312587	0.112778	0.129989	0.130912	0.060992	0.250000	0.250000	0.250000	0.250000	2.154634	0.836512	0.685069	8.200280	0.948976	4.669066	0.807853	7.484342	0.825675	7.051151	0.414066	8.677795	0.675716	5.586266	0.372960	7.238837	
5160000	-2203.703951	35	0.150173	0.119214	0.274652	0.354382	0.100400	0.122752	0.120697	0.076610	0.250000	0.250000	0.250000	0.250000	0.369409	3.378715	0.383210	4.259773	0.833291	4.924713	0.906790	5.188686	1.054872	0.331759	1.152693	4.706086	0.703879	0.546650	0.764005	5.080278	
5190000	-2200.647603	35	0.174673	0.131948	0.335393	0.362445	0.084813	0.131734	0.154742	0.049434	0.250000	0.250000	0.250000	0.250000	0.485336	3.250468	0.043379	0.711141	3.738187	0.170117	2.958443	0.290581	1.643676	0.325151	0.250742	3.076653	0.311230	3.332433	2.227036	0.027899	
5220000	-2200.623174	35	0.167998	0.138761	0.327999	0.273412	0.102875	0.131512	0.112374	0.054358	0.250000	0.250000	0.250000	0.250000	1.118722	1.209280	0.267962	3.680221	0.711686	2.512329	1.726251	0.236856	0.358079	3.549183	1.803663	0.087344	1.097467	0.139294	0.158287	6.800604	
5250000	-2200.821775	35	0.177831	0.125093	0.334858	0.346442	0.105706	0.122367	0.137014	0.065388	0.250000	0.250000	0.250000	0.250000	2.380868	0.456076	2.599518	0.728165	0.683702	5.417422	1.277177	1.467159	0.919145	3.839175	3.369729	0.253333	0.232709	5.601821	0.513868	7.519163	
5280000	-2201.491111	35	0.180186	0.113774	0.298356	0.299502	0.106376	0.153435	0.122303	0.055258	0.250000	0.250000	0.250000	0.250000	5.812489	0.090900	0.109180	1.411542	0.345274	2.385791	0.501558	4.587819	1.079384	0.103696	0.656793	2.852523	0.925070	5.733506	1.343411	0.598306	
5310000	-2204.671861	35	0.161633	0.162362	0.387365	0.321230	0.102162	0.135879	0.143010	0.064211	0.250000	0.250000	0.250000	0.250000	0.725734	8.552292	1.549653	3.370716	4.408443	0.223907	1.263162	9.850384	0.455036	5.202596	1.047843	1.509415	9.171099	0.016714	0.226864	5.100605	
